Id,Main_city_center,oefua_id
3340,1,ARG03340
358,1,ARG00358
4215,1,ARG04215
2285,1,ARG02285
1467,1,ARG01467
652,1,ARG00652
209,1,BOL00209
1570,1,BOL01570
800,1,BOL00800
2219,1,BRA02219
2559,1,BRA02559
1055,1,CHL010C
2072,1,CHL011C
1480,1,CHL020C
1574,0,CHL020C
1665,0,CHL020C
465,1,PRY00465
3271,1,PER03271
2327,1,PER02327
4215,1,ARG04215
4349,1,ARG04349
6700,1,BRA06700
6108,1,BRA06108
4809,1,BRA04809
6169,1,BRA06169
6870,1,BRA06870
6882,0,BRA06870
6567,1,BRA06567
7353,1,BRA07353
6961,1,BRA06961
7303,1,BRA07303
6369,1,BRA06369
6728,1,BRA06728
5465,1,BRA05465
5737,0,BRA05465
5792,0,BRA05465
5818,0,BRA05465
5842,0,BRA05465
7390,1,BRA07390
5926,1,BRA05926
6416,1,BRA06416
5593,1,BRA05593
906,1,URY00906
2746,1,AGO02746
506,1,AGO00506
723,1,MDG00723
446,1,MWI00446
730,1,MWI00730
121,1,MUS00121
101,1,LSO00101
666,1,BWA00666
1789,1,MOZ01789
1952,0,MOZ01789
118,1,MOZ00118
292,1,NAM00292
2681,1,ZAF02681
1737,1,ZAF01737
1647,1,ZAF01647
2060,1,ZAF02060
189,1,ZAF00189
3337,1,ZAF03337
4314,1,ZAF04314
3700,1,ZAF03700
4513,1,ZAF04513
1986,1,ZMB01986
2351,1,ZMB02351
2061,1,ZMB02061
191,1,ZWE00191
1558,1,ZWE01558
6666,1,IDN06666
7,0,AUS04C
198,0,AUS04C
360,1,AUS04C
57,1,FJI00057
1369,0,AUS07C
1468,1,AUS07C
1653,0,AUS01C
1830,1,AUS01C
1266,1,AUS02C
2355,1,AUS03C
789,1,AUS05C
869,1,NZL00869
454,1,NZL00454
300,1,NZL00300
875,1,PNG00875
182,1,USM35
17,1,BHS00017
23,1,BRB00023
2162,1,GTM02162
72,1,GUY00251
1302,1,HTI01302
