eFUA_ID,GC_POP_TOT_2025,GH_BUS_TOT_2020,GH_POP_TOT_2020,SC_SEC_GDP_2020,HZ_CON_TOT_2020,SC_SEC_SET_2020,SC_SEC_SYT_2020,EM_CO2_PEC_2020,EM_GHG_PEC_2020,EM_NOX_PEC_2020,EM_PM2_PEC_2020,EX_010_SHP_2020,EX_100_SHP_2020,EX_CF2_SHP_2020,EX_CF1_SHP_2020,IN_CIS_ALL_2020,GR_SHB_GRN_2020,HL_SHP_HOS_2025,IN_ROA_DEN_2024,total_area_km2,total_population,total_buildup_m2,total_gdp_ppp,n_urban_centers,area_distortion,pop_distortion,gdp_per_capita,buildup_per_capita,population_density,geom
1,1489155.783,17235686,1182508.113,27071992.48,293,9.314,2.042,0.0195602466911531,0.0654497652626253,7.69916623328909e-5,1.049477649452e-4,0,0,0,0,0.024784756,0.049148029,13.84603224,0.011320927,88,1182508.113,17235686,27071992.48,1,0.6330935251798561,1.3304379436119687,22.893705491219748,14.575532979873941,13437.592193181817,"list(list(c(5531000, 5533000, 5533000, 5536000, 5536000, 5538000, 5538000, 5542000, 5542000, 5543000, 5543000, 5542000, 5542000, 5541000, 5541000, 5540000, 5540000, 5539000, 5539000, 5538000, 5538000, 5536000, 5536000, 5535000, 5535000, 5534000, 5534000, 5533000, 5533000, 5531000, 5531000, 5530000, 5530000, 5529000, 5529000, 5528000, 5528000, 5529000, 5529000, 5531000, 5531000, 4153000, 4153000, 4152000, 4152000, 4151000, 4151000, 4150000, 4150000, 4151000, 4151000, 4148000, 4148000, 4147000, 4147000, 
4145000, 4145000, 4141000, 4141000, 4142000, 4142000, 4143000, 4143000, 4144000, 4144000, 4145000, 4145000, 4146000, 4146000, 4147000, 4147000, 4149000, 4149000, 4150000, 4150000, 4151000, 4151000, 4153000, 4153000, 4154000, 4154000, 4153000)))"
2,405248.6373,7313302,344693.7313,16837472.7,4,12.7516073173334,5.00542989768967,0.029644873614212995,0.0720235442485983,1.755992982631e-4,4.885679362774e-4,3.279139492,6.16431223,0.026374136,0.094712004,0.013149802,0.0459847,25.16430168,0.01453175,38,344693.7313,7313302,16837472.7,1,0.7307692307692307,1.2543165399368725,48.847632466358114,21.216811725638713,9070.887665789473,"list(list(c(1193000, 1194000, 1194000, 1195000, 1195000, 1196000, 1196000, 1195000, 1195000, 1193000, 1193000, 1189000, 1189000, 1188000, 1188000, 1189000, 1189000, 1191000, 1191000, 1193000, 1193000, -1869000, -1869000, -1870000, -1870000, -1871000, -1871000, -1873000, -1873000, -1874000, -1874000, -1875000, -1875000, -1874000, -1874000, -1871000, -1871000, -1870000, -1870000, -1868000, -1868000, -1869000)))"
3,77144.26737,3478312,82511.45504,28895273.27,24,13.794999999999998,10.44,0.12155759326056799,0.21267604985868796,5.206057376297e-4,2.584205402348e-4,0.645372557,1.011932227,0,0,0.054856156,0.047465552,20.93512771,0.019675557,17,82511.45504,3478312,28895273.27,1,0.20987654320987653,0.7619583063402036,350.197112097855,42.15550432741466,4853.615002352941,"list(list(c(1626000, 1627000, 1627000, 1626000, 1626000, 1623000, 1623000, 1624000, 1624000, 1626000, 1626000, 5021000, 5021000, 5018000, 5018000, 5017000, 5017000, 5021000, 5021000, 5022000, 5022000, 5021000)))"
6,84759.79001,6131502,87635.49639,24900473.52,33,12.823000000000002,11.38,0.346447163493632,0.427918780617293,0.0011201968614763,1.175776473627e-4,0,0,0,0,0.083860172,0.035994443,61.14022785,0.016055222,23,87635.49639,6131502,24900473.52,1,0.3108108108108108,0.7287486834965923,284.13684575011285,69.96596416494606,3810.238973478261,"list(list(c(3694000, 3695000, 3695000, 3696000, 3696000, 3698000, 3698000, 3699000, 3699000, 3698000, 3698000, 3696000, 3696000, 3695000, 3695000, 3694000, 3694000, 3693000, 3693000, 3694000, 3694000, 4882000, 4882000, 4881000, 4881000, 4880000, 4880000, 4877000, 4877000, 4876000, 4876000, 4874000, 4874000, 4877000, 4877000, 4878000, 4878000, 4881000, 4881000, 4883000, 4883000, 4882000)))"
7,85037.86382,14796912,76759.4917,34837904.46,0,11.961238150818,8.43931802863272,1.4276654802242,1.7497574337362303,0.0064096348970351,0.0012919507558177,1.4007145030000001,3.882025823,7.381863384999999,8.002147235,0.030753342,0.040988282,5.00012734,0.011674865,81,76759.4917,14796912,34837904.46,1,0.27835051546391754,0.8151169194379732,453.8579358518603,192.76980178335393,947.6480456790123,"list(list(c(10441000, 10442000, 10442000, 10441000, 10441000, 10440000, 10440000, 10439000, 10439000, 10436000, 10436000, 10435000, 10435000, 10434000, 10434000, 10433000, 10433000, 10431000, 10431000, 10430000, 10430000, 10428000, 10428000, 10426000, 10426000, 10425000, 10425000, 10423000, 10423000, 10421000, 10421000, 10420000, 10420000, 10421000, 10421000, 10422000, 10422000, 10424000, 10424000, 10426000, 10426000, 10427000, 10427000, 10428000, 10428000, 10430000, 10430000, 10431000, 10431000, 
10435000, 10435000, 10436000, 10436000, 10437000, 10437000, 10438000, 10438000, 10439000, 10439000, 10440000, 10440000, 10441000, 10441000, -3932000, -3932000, -3933000, -3933000, -3934000, -3934000, -3935000, -3935000, -3939000, -3939000, -3940000, -3940000, -3942000, -3942000, -3943000, -3943000, -3942000, -3942000, -3944000, -3944000, -3943000, -3943000, -3944000, -3944000, -3945000, -3945000, -3947000, -3947000, -3948000, -3948000, -3947000, -3947000, -3946000, -3946000, -3945000, -3945000, -3944000, 
-3944000, -3943000, -3943000, -3942000, -3942000, -3941000, -3941000, -3940000, -3940000, -3938000, -3938000, -3937000, -3937000, -3936000, -3936000, -3935000, -3935000, -3934000, -3934000, -3933000, -3933000, -3932000, -3932000, -3931000, -3931000, -3932000)))"
8,144226.3775,5562905,137565.0757,181597396.8,46,16.681,12.014,0.458132969642279,0.551059495029958,0.0010255516390269,2.35435619769e-4,35.32434319,42.15483076,0,0,0.14005021,0.043340665,35.26447901,0.026450612,25,137565.0757,5562905,181597396.8,1,0.07102272727272728,0.5623846182367248,1320.0835740898738,40.43835233392745,5502.6030279999995,"list(list(c(902000, 900000, 900000, 898000, 898000, 897000, 897000, 894000, 894000, 893000, 893000, 896000, 896000, 899000, 899000, 902000, 902000, 5584000, 5584000, 5583000, 5583000, 5582000, 5582000, 5583000, 5583000, 5584000, 5584000, 5585000, 5585000, 5586000, 5586000, 5587000, 5587000, 5584000)))"
9,175330.7952,4829137,160575.8595,80488173.65,2,0,0,0.632885681943299,0.661842384409594,7.65491565281e-4,7.57892769491917e-5,0,0,0,0,0.011995946,0.043630984,0,0.011355651,22,160575.8595,4829137,80488173.65,1,0.39285714285714285,1.192091073711449,501.24703613994984,30.07386673835615,7298.902704545454,"list(list(c(3883000, 3885000, 3885000, 3886000, 3886000, 3885000, 3885000, 3881000, 3881000, 3882000, 3882000, 3883000, 3883000, 4703000, 4703000, 4702000, 4702000, 4697000, 4697000, 4698000, 4698000, 4699000, 4699000, 4704000, 4704000, 4703000)))"
11,82243.27412,6443200,81125.00851,59312041.7,12,14.7348810349928,10.0680167694098,1.38920019479453,1.6330906300782502,0.0053417088688327,7.099500821365e-4,0,0,59.59512865,65.38295275,0.056335756,0.04603302699999999,38.11531542,0.017750239,35,81125.00851,6443200,59312041.7,1,0.08883248730964467,0.4529389961721434,731.1190813950893,79.42310414926821,2317.857386,"list(list(c(223000, 224000, 224000, 214000, 214000, 216000, 216000, 217000, 217000, 220000, 220000, 223000, 223000, 6000000, 6000000, 5999000, 5999000, 6001000, 6001000, 6002000, 6002000, 6003000, 6003000, 6004000, 6004000, 6000000)))"
13,73780.51196,2700246,62890.93555,5023348.879,0,10.131,1.975,0.017291402751282402,0.0829530676682706,1.992127460727e-4,5.381205677103e-4,0,0,0,0,0.013010417,0.048958502,38.94071989,0.017834288,14,62890.93555,2700246,5023348.879,1,1.0769230769230769,0.9080326216644884,79.87397285585457,42.93537655920591,4492.209682142858,"list(list(c(-487000, -486000, -486000, -487000, -487000, -488000, -488000, -490000, -490000, -489000, -489000, -487000, -487000, 1270000, 1270000, 1268000, 1268000, 1267000, 1267000, 1266000, 1266000, 1269000, 1269000, 1271000, 1271000, 1270000)))"
15,1068056.502,40453131,1092033.595,170010247.1,735,15.909,12.278,0.663637042559116,0.990067341611408,0.0016040146964105,0.0028590773288133,0.014361769,0.016545275,0,0,0.169998003,0.047551326,53.56129431,0.024554625,201,1092033.595,40453131,170010247.1,1,0.14866863905325445,0.7669125772964307,155.68224995861962,37.0438521170221,5433.0029601990045,"list(list(c(1929000, 1932000, 1932000, 1933000, 1933000, 1938000, 1938000, 1939000, 1939000, 1940000, 1940000, 1939000, 1939000, 1936000, 1936000, 1932000, 1932000, 1930000, 1930000, 1929000, 1929000, 1927000, 1927000, 1923000, 1923000, 1922000, 1922000, 1921000, 1921000, 1922000, 1922000, 1923000, 1923000, 1925000, 1925000, 1926000, 1926000, 1928000, 1928000, 1929000, 1929000, 5094000, 5094000, 5092000, 5092000, 5091000, 5091000, 5086000, 5086000, 5085000, 5085000, 5084000, 5084000, 5080000, 5080000, 
5079000, 5079000, 5080000, 5080000, 5081000, 5081000, 5082000, 5082000, 5083000, 5083000, 5085000, 5085000, 5088000, 5088000, 5092000, 5092000, 5093000, 5093000, 5094000, 5094000, 5095000, 5095000, 5094000, 5094000, 5095000, 5095000, 5094000)))"
