Id,Main_city_center,oefua_id
3443,0,ARG03340
3495,0,ARG03340
3547,1,ARG03340
214,1,ARG00358
4443,1,ARG04215
4481,0,ARG04215
2335,1,ARG02285
1476,1,ARG01467
526,1,ARG00652
212,1,BOL00209
1375,1,BOL01570
666,1,BOL00800
2258,1,BRA02219
2618,1,BRA02559
1162,1,CHL010C
1271,0,CHL010C
2334,1,CHL011C
2409,0,CHL011C
2480,0,CHL011C
2550,0,CHL011C
1668,1,CHL020C
1760,0,CHL020C
1848,0,CHL020C
1934,0,CHL020C
2017,0,CHL020C
217,1,PRY00465
3440,1,PER03271
2171,1,PER02327
4443,1,ARG04215
4592,0,ARG04215
4666,1,ARG04349
7395,0,BRA06700
7425,1,BRA06700
6593,1,BRA06108
4880,0,BRA04809
4945,1,BRA04809
6668,1,BRA06169
7676,1,BRA06870
7684,0,BRA06870
7692,0,BRA06870
7700,0,BRA06870
7729,0,BRA06870
7736,0,BRA06870
7220,0,BRA06567
7255,0,BRA06567
7277,1,BRA06567
7310,0,BRA06567
7332,0,BRA06567
7343,0,BRA06567
7354,0,BRA06567
7415,0,BRA06567
8308,0,BRA07353
8313,1,BRA07353
7792,0,BRA06961
7799,1,BRA06961
7813,0,BRA06961
7820,0,BRA06961
7834,0,BRA06961
7855,0,BRA06961
7876,0,BRA06961
8238,1,BRA07303
8250,0,BRA07303
6961,1,BRA06369
7470,1,BRA06728
5835,0,BRA05465
5855,1,BRA05465
5875,0,BRA05465
5952,0,BRA05465
6043,0,BRA05465
6097,0,BRA05465
6168,0,BRA05465
6202,0,BRA05465
6236,0,BRA05465
8353,1,BRA07390
6350,1,BRA05926
6366,0,BRA05926
7052,1,BRA06416
5971,1,BRA05593
670,0,URY00906
804,1,URY00906
931,0,URY00906
3350,1,AGO02746
1082,1,AGO00506
1403,0,AGO00506
1503,0,AGO00506
1600,0,AGO00506
1901,0,MDG00723
1985,1,MDG00723
305,0,MWI00446
461,1,MWI00446
873,1,MWI00730
159,1,MUS00121
116,1,LSO00101
591,1,BWA00666
1892,1,MOZ01789
126,0,MOZ00118
299,1,MOZ00118
429,1,NAM00292
2892,0,ZAF02681
2954,1,ZAF02681
2124,1,ZAF01737
1880,0,ZAF01647
1965,0,ZAF01647
2045,1,ZAF01647
2203,0,ZAF01647
2436,1,ZAF02060
274,0,ZAF00189
431,1,ZAF00189
575,0,ZAF00189
3298,0,ZAF03337
3512,1,ZAF03337
3899,0,ZAF03337
3986,0,ZAF03337
4111,0,ZAF03337
4604,1,ZAF04314
3899,0,ZAF03700
3943,1,ZAF03700
4787,1,ZAF04513
1517,1,ZMB01986
1613,0,ZMB01986
2130,1,ZMB02351
1705,0,ZMB02061
1796,1,ZMB02061
117,1,ZWE00191
1419,1,ZWE01558
1519,0,ZWE01558
7783,1,IDN06666
7797,0,IDN06666
7804,0,IDN06666
179,0,AUS04C
346,0,AUS04C
498,1,AUS04C
640,0,AUS04C
355,1,FJI00057
1922,1,AUS07C
2086,0,AUS01C
2166,0,AUS01C
2245,0,AUS01C
2324,1,AUS01C
1459,0,AUS02C
1559,0,AUS02C
1655,0,AUS02C
1747,1,AUS02C
1835,0,AUS02C
2606,0,AUS03C
2734,1,AUS03C
2984,0,AUS03C
3044,0,AUS03C
3103,0,AUS03C
909,0,AUS05C
1029,1,AUS05C
1145,0,AUS05C
1147,1,NZL00869
505,1,NZL00454
647,0,NZL00454
353,1,NZL00300
1360,1,PNG00875
3,0,USM35
193,1,USM35
356,0,USM35
19,1,BHS00017
32,1,BRB00023
2089,1,GTM02162
2169,0,GTM02162
2248,0,GTM02162
33,1,GUY00251
1269,1,HTI01302
661,0,JAM00566
795,1,JAM00566
1377,1,BRA01477
2676,1,COL02C
2739,0,COL02C
3968,1,COL04C
3275,1,COL05C
3595,0,COL05C
3647,0,COL05C
3107,1,COL09C
1158,1,COL03C
1266,0,COL03C
207,0,COL07C
4943,1,COL07C
4627,0,COL06C
4701,1,COL06C
4738,0,COL06C
3881,1,COL01C
4052,0,COL01C
363,1,CRI00224
513,0,CRI00224
367,1,CUB00225
517,0,CUB00225
659,0,CUB00225
793,0,CUB00225
1473,0,DOM01674
1667,1,DOM01674
792,1,ECU00818
919,0,ECU00818
2544,1,ECU02569
2610,0,ECU02569
652,0,SLV00888
788,0,SLV00888
916,1,SLV00888
1036,0,SLV00888
1151,0,SLV00888
6131,1,MEX03C
4364,1,MEX17C
5402,1,MEX01C
5526,0,MEX01C
5550,0,MEX01C
5597,0,MEX01C
5665,0,MEX01C
3105,1,MEX02C
3163,0,MEX02C
5853,1,MEX04C
5912,0,MEX04C
5243,1,MEX05C
5271,0,MEX05C
4478,1,MEX07C
5097,1,MEX08C
6875,1,MEX09C
5215,1,MEX11C
5376,1,MEX14C
6501,1,MEX19C
4212,1,MEX21C
4589,0,MEX22C
4663,1,MEX22C
6441,1,MEX23C
6456,0,MEX23C
6364,0,MEX26C
6396,1,MEX26C
6959,1,MEX28C
6183,1,MEX24C
2401,1,MEX16C
5873,1,MEX27C
6726,1,MEX31C
362,1,NIC00594
658,1,PAN00740
1156,1,PER01431
920,0,PER01330
1040,1,PER01330
213,1,PRI1
376,0,PRI1
34,1,SUR00162
7142,0,USM11
7168,1,USM11
4591,1,VEN04610
4628,0,VEN04610
2614,1,VEN02801
2678,0,VEN02801
2742,0,VEN02801
3109,1,VEN03284
1268,1,VEN01459
3387,1,VEN03611
3493,0,VEN03611
3597,0,VEN03611
3699,0,VEN03611
3747,0,VEN04040
3837,1,VEN04040
1365,1,HND01301
3709,1,NGA03367
2996,1,CIV02629
2486,1,CIV02223
391,1,MLI00586
537,0,MLI00586
678,0,MLI00586
222,1,MRT00289
40,1,GMB00066
221,0,GMB00066
1284,1,GHA01296
1678,0,GHA01296
3175,1,GHA02940
3341,0,GHA02940
43,1,GNB00067
673,1,GIN00550
50,1,LBR00098
1588,1,BEN01657
7365,1,BRA06639
8363,1,BRA07406
8368,0,BRA07406
8148,0,BRA07226
8154,1,BRA07226
7652,1,BRA06852
8388,1,BRA07418
8408,0,BRA07418
4593,1,BRA04483
8403,1,BRA07434
1487,1,BFA01834
548,1,NER00448
2880,1,NGA02526
1589,1,NGA01217
550,0,NGA00865
823,0,NGA00865
1183,0,NGA00865
1289,1,NGA00865
2032,0,NGA00865
2690,0,NGA00865
39,1,SEN00153
47,1,SLE00156
820,1,TGO01245
4060,0,TGO01245
3709,1,NGA03367
414,1,GAB00241
2902,1,KEN03056
1717,1,KEN02171
1894,0,KEN02171
2058,0,KEN02171
325,1,ARE00195
479,0,ARE00195
622,0,ARE00195
759,0,ARE00195
887,0,ARE00195
295,1,BDI00363
832,1,CMR00809
2276,1,CMR02295
582,1,CAF00524
722,0,CAF00524
424,1,TCD00483
427,1,COG00811
85,1,COG00035
1876,1,COD01385
1961,0,COD01385
474,1,DJI00045
1007,1,ARE00357
1123,0,ARE00357
1232,0,ARE00357
7222,1,EGY06229
76,1,GNQ00068
750,1,ERI00542
5862,1,ETH05821
8125,1,NGA06995
8209,0,NGA06995
7543,1,NGA06556
7516,1,NGA06529
7333,0,NGA06502
7366,0,NGA06502
7471,1,NGA06502
7525,0,NGA06502
7751,0,NGA06502
5935,1,NGA05294
7807,1,NGA06768
6934,0,NGA06116
7092,1,NGA06116
7278,0,NGA06116
7669,0,NGA06644
7716,1,NGA06644
8263,1,NGA07140
7209,1,NGA06256
4183,1,NGA03810
8564,1,NGA07524
1124,1,OMN01110
153,1,QAT00146
619,0,QAT00146
597,1,RWA01338
749,1,SAU01009
1531,1,SAU01625
1627,0,SAU01625
3026,1,SAU03327
3086,0,SAU03327
3144,0,SAU03327
997,0,SAU01234
1112,1,SAU01234
1222,0,SAU01234
1328,0,SAU01234
1431,0,SAU01234
4155,1,SDN03226
4194,0,SDN03226
4308,0,SDN03226
4346,0,SDN03226
4384,0,SDN03226
3466,0,TZA03280
3570,1,TZA03280
3193,1,TZA03023
3079,1,TZA02797
2053,1,TZA01639
1711,1,UGA01899
3380,1,MYS03010
176,1,MYS00123
